drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
METHYLPREDNISOLONE	DRUG:METHYLPREDNISOLONE	CHEMBL650	H02BX01	H	Systemic hormonal preparations
DICLOFENAC	DRUG:DICLOFENAC	CHEMBL139	M01AB55	M	Musculo-skeletal system
DICLOFENAC	DRUG:DICLOFENAC	CHEMBL139	S01BC03	S	Sensory organs
ISOSORBIDE MONONITRATE	DRUG:ISOSORBIDE MONONITRATE	CHEMBL1311	C01DA14	C	Cardiovascular system
GLIPIZIDE	DRUG:GLIPIZIDE	CHEMBL1073	A10BB07	A	Alimentary tract and metabolism
MIRTAZAPINE	DRUG:MIRTAZAPINE	CHEMBL654	N06AX11	N	Nervous system
OXYTETRACYCLINE	DRUG:OXYTETRACYCLINE	CHEMBL1517	J01AA06	J	Antiinfectives for systemic use
COLISTIN	DRUG:COLISTIN	CHEMBL6067481	A07AA10	A	Alimentary tract and metabolism
FLUOROMETHOLONE	DRUG:FLUOROMETHOLONE	CHEMBL1200600	S01BA07	S	Sensory organs
MISOPROSTOL	DRUG:MISOPROSTOL	CHEMBL606	G02AD06	G	Genito-urinary system and sex hormones
DEXTROMETHORPHAN	DRUG:DEXTROMETHORPHAN	CHEMBL52440	N07XX59	N	Nervous system
MIDODRINE	DRUG:MIDODRINE	CHEMBL1201212	C01CA17	C	Cardiovascular system
IDELALISIB	DRUG:IDELALISIB	CHEMBL2216870	L01EM01	L	Antineoplastic and immunomodulating agents
CERITINIB	DRUG:CERITINIB	CHEMBL2403108	L01ED02	L	Antineoplastic and immunomodulating agents
DEUTETRABENAZINE	DRUG:DEUTETRABENAZINE	CHEMBL3137326	N07XX16	N	Nervous system
FAVIPIRAVIR	DRUG:FAVIPIRAVIR	CHEMBL221722	J05AX27	J	Antiinfectives for systemic use
KANAMYCIN	DRUG:KANAMYCIN	CHEMBL1384	J01GB04	J	Antiinfectives for systemic use
SEBELIPASE ALFA	DRUG:SEBELIPASE ALFA	CHEMBL3039537	A16AB14	A	Alimentary tract and metabolism
LANADELUMAB	DRUG:LANADELUMAB	CHEMBL3545189	B06AC05	B	Blood and blood forming organs
LETERMOVIR	DRUG:LETERMOVIR	CHEMBL1241951	J05AX18	J	Antiinfectives for systemic use
FLUPENTIXOL	DRUG:FLUPENTIXOL	CHEMBL6066864	N05AF01	N	Nervous system
METHYLDOPA	DRUG:METHYLDOPA	CHEMBL459	C02AB01	C	Cardiovascular system
CORTISONE ACETATE	DRUG:CORTISONE ACETATE	CHEMBL1650	S01BA03	S	Sensory organs
CLOFIBRATE	DRUG:CLOFIBRATE	CHEMBL565	C10AB01	C	Cardiovascular system
AZACITIDINE	DRUG:AZACITIDINE	CHEMBL1489	L01BC07	L	Antineoplastic and immunomodulating agents
ENOXOLONE	DRUG:ENOXOLONE	CHEMBL230006	D03AX10	D	Dermatologicals
EPHEDRINE	DRUG:EPHEDRINE	CHEMBL211456	C01CA26	C	Cardiovascular system
PARATHYROID HORMONE	DRUG:PARATHYROID HORMONE	CHEMBL2108078	H05AA03	H	Systemic hormonal preparations
SUMATRIPTAN	DRUG:SUMATRIPTAN	CHEMBL128	N02CC01	N	Nervous system
PRAVASTATIN	DRUG:PRAVASTATIN	CHEMBL1144	C10AA03	C	Cardiovascular system
AGALSIDASE BETA	DRUG:AGALSIDASE BETA	CHEMBL2108888	A16AB04	A	Alimentary tract and metabolism
