drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
MOMELOTINIB	DRUG:MOMELOTINIB	CHEMBL1078178	L01EJ04	L	Antineoplastic and immunomodulating agents
FINERENONE	DRUG:FINERENONE	CHEMBL2181927	C03DA05	C	Cardiovascular system
AFLIBERCEPT	DRUG:AFLIBERCEPT	CHEMBL1742982	S01LA05	S	Sensory organs
BELATACEPT	DRUG:BELATACEPT	CHEMBL1742990	L04AA28	L	Antineoplastic and immunomodulating agents
BLINATUMOMAB	DRUG:BLINATUMOMAB	CHEMBL1742992	L01FX07	L	Antineoplastic and immunomodulating agents
MOGAMULIZUMAB	DRUG:MOGAMULIZUMAB	CHEMBL1743041	L01FX09	L	Antineoplastic and immunomodulating agents
ALEFACEPT	DRUG:ALEFACEPT	CHEMBL1201571	L04AA15	L	Antineoplastic and immunomodulating agents
ETANERCEPT	DRUG:ETANERCEPT	CHEMBL1201572	L04AB01	L	Antineoplastic and immunomodulating agents
DEUCRAVACITINIB	DRUG:DEUCRAVACITINIB	CHEMBL4435170	L04AF07	L	Antineoplastic and immunomodulating agents
HEPARIN	DRUG:HEPARIN	CHEMBL4650299	B01AB01	B	Blood and blood forming organs
BEROTRALSTAT	DRUG:BEROTRALSTAT	CHEMBL5189739	B06AC06	B	Blood and blood forming organs
ETILEFRINE	DRUG:ETILEFRINE	CHEMBL86882	C01CA01	C	Cardiovascular system
TRIFLUOPERAZINE	DRUG:TRIFLUOPERAZINE	CHEMBL422	N05AB06	N	Nervous system
ZURANOLONE	DRUG:ZURANOLONE	CHEMBL4105630	N06AX31	N	Nervous system
ZILUCOPLAN	DRUG:ZILUCOPLAN	CHEMBL4298207	L04AJ06	L	Antineoplastic and immunomodulating agents
PEGCETACOPLAN	DRUG:PEGCETACOPLAN	CHEMBL4298211	L04AJ03	L	Antineoplastic and immunomodulating agents
DACLIZUMAB	DRUG:DACLIZUMAB	CHEMBL1201605	L04AC01	L	Antineoplastic and immunomodulating agents
USTEKINUMAB	DRUG:USTEKINUMAB	CHEMBL1201835	L04AC05	L	Antineoplastic and immunomodulating agents
PANITUMUMAB	DRUG:PANITUMUMAB	CHEMBL1201827	L01FE02	L	Antineoplastic and immunomodulating agents
GOLIMUMAB	DRUG:GOLIMUMAB	CHEMBL1201833	L04AB06	L	Antineoplastic and immunomodulating agents
ZOLBETUXIMAB	DRUG:ZOLBETUXIMAB	CHEMBL2109427	L01FX31	L	Antineoplastic and immunomodulating agents
OMALIZUMAB	DRUG:OMALIZUMAB	CHEMBL1201589	R03DX05	R	Respiratory system
ECALLANTIDE	DRUG:ECALLANTIDE	CHEMBL1201837	B06AC03	B	Blood and blood forming organs
BUPRENORPHINE	DRUG:BUPRENORPHINE	CHEMBL511142	N02AE01	N	Nervous system
LINACLOTIDE	DRUG:LINACLOTIDE	CHEMBL3301675	A06AX04	A	Alimentary tract and metabolism
GANCICLOVIR	DRUG:GANCICLOVIR	CHEMBL182	S01AD09	S	Sensory organs
TESTOSTERONE	DRUG:TESTOSTERONE	CHEMBL386630	G03BA03	G	Genito-urinary system and sex hormones
TAMSULOSIN	DRUG:TAMSULOSIN	CHEMBL836	G04CA02	G	Genito-urinary system and sex hormones
TROSPIUM	DRUG:TROSPIUM	CHEMBL1888176	G04BD09	G	Genito-urinary system and sex hormones
OCTREOTIDE	DRUG:OCTREOTIDE	CHEMBL1680	H01CB02	H	Systemic hormonal preparations
TEMSIROLIMUS	DRUG:TEMSIROLIMUS	CHEMBL1201182	L01EG01	L	Antineoplastic and immunomodulating agents
CIPROFLOXACIN	DRUG:CIPROFLOXACIN	CHEMBL8	S03AA07	S	Sensory organs
FROVATRIPTAN	DRUG:FROVATRIPTAN	CHEMBL1279	N02CC07	N	Nervous system
MINOCYCLINE	DRUG:MINOCYCLINE	CHEMBL1434	D10AF07	D	Dermatologicals
DRONEDARONE	DRUG:DRONEDARONE	CHEMBL184412	C01BD07	C	Cardiovascular system
OXYTOCIN	DRUG:OXYTOCIN	CHEMBL395429	H01BB02	H	Systemic hormonal preparations
CILOSTAZOL	DRUG:CILOSTAZOL	CHEMBL799	B01AC23	B	Blood and blood forming organs
SOTALOL	DRUG:SOTALOL	CHEMBL471	C07AA07	C	Cardiovascular system
PERMETHRIN	DRUG:PERMETHRIN	CHEMBL1525	P03AC04	P	Antiparasitic products
AGOMELATINE	DRUG:AGOMELATINE	CHEMBL10878	N06AX22	N	Nervous system
CLIOQUINOL	DRUG:CLIOQUINOL	CHEMBL497	D09AA10	D	Dermatologicals
ASPIRIN	DRUG:ASPIRIN	CHEMBL25	A01AD05	A	Alimentary tract and metabolism
CAFFEINE	DRUG:CAFFEINE	CHEMBL113	N06BC01	N	Nervous system
DEGARELIX	DRUG:DEGARELIX	CHEMBL415606	L02BX02	L	Antineoplastic and immunomodulating agents
RALTEGRAVIR	DRUG:RALTEGRAVIR	CHEMBL254316	J05AJ01	J	Antiinfectives for systemic use
HALOPERIDOL	DRUG:HALOPERIDOL	CHEMBL54	N05AD01	N	Nervous system
FINASTERIDE	DRUG:FINASTERIDE	CHEMBL710	D11AX10	D	Dermatologicals
EDARAVONE	DRUG:EDARAVONE	CHEMBL290916	N07XX14	N	Nervous system
ACEBUTOLOL	DRUG:ACEBUTOLOL	CHEMBL642	C07AB04	C	Cardiovascular system
BENZOCAINE	DRUG:BENZOCAINE	CHEMBL278172	C05AD03	C	Cardiovascular system
BENZOCAINE	DRUG:BENZOCAINE	CHEMBL278172	N01BA05	N	Nervous system
BENZOCAINE	DRUG:BENZOCAINE	CHEMBL278172	R02AD01	R	Respiratory system
TRIAZOLAM	DRUG:TRIAZOLAM	CHEMBL646	N05CD05	N	Nervous system
DIGITOXIN	DRUG:DIGITOXIN	CHEMBL254219	C01AA04	C	Cardiovascular system
ALCOHOL	DRUG:ALCOHOL	CHEMBL545	V03AB16	V	Various
CEFADROXIL	DRUG:CEFADROXIL	CHEMBL1644	J01DB05	J	Antiinfectives for systemic use
BROMAZEPAM	DRUG:BROMAZEPAM	CHEMBL277062	N05BA08	N	Nervous system
CEFDINIR	DRUG:CEFDINIR	CHEMBL927	J01DD15	J	Antiinfectives for systemic use
SODIUM PICOSULFATE	DRUG:SODIUM PICOSULFATE	CHEMBL1697768	A06AB08	A	Alimentary tract and metabolism
SODIUM OXYBATE	DRUG:SODIUM OXYBATE	CHEMBL1200682	N01AX11	N	Nervous system
TAZAROTENE	DRUG:TAZAROTENE	CHEMBL1657	D05AX05	D	Dermatologicals
MAGNESIUM CITRATE	DRUG:MAGNESIUM CITRATE	CHEMBL3989480	A06AD19	A	Alimentary tract and metabolism
TERCONAZOLE	DRUG:TERCONAZOLE	CHEMBL1714574	G01AG02	G	Genito-urinary system and sex hormones
LEVOSULPIRIDE	DRUG:LEVOSULPIRIDE	CHEMBL267044	N05AL07	N	Nervous system
LACTIC ACID	DRUG:LACTIC ACID	CHEMBL1200559	G01AD01	G	Genito-urinary system and sex hormones
SAXAGLIPTIN	DRUG:SAXAGLIPTIN	CHEMBL2103745	A10BH03	A	Alimentary tract and metabolism
IFOSFAMIDE	DRUG:IFOSFAMIDE	CHEMBL1024	L01AA06	L	Antineoplastic and immunomodulating agents
LEVETIRACETAM	DRUG:LEVETIRACETAM	CHEMBL1286	N03AX14	N	Nervous system
FOMEPIZOLE	DRUG:FOMEPIZOLE	CHEMBL1308	V03AB34	V	Various
MARIBAVIR	DRUG:MARIBAVIR	CHEMBL515408	J05AX10	J	Antiinfectives for systemic use
OPIUM	DRUG:OPIUM	CHEMBL2107914	N02AA02	N	Nervous system
CLONAZEPAM	DRUG:CLONAZEPAM	CHEMBL452	N03AE01	N	Nervous system
DACARBAZINE	DRUG:DACARBAZINE	CHEMBL476	L01AX04	L	Antineoplastic and immunomodulating agents
LANSOPRAZOLE	DRUG:LANSOPRAZOLE	CHEMBL480	A02BC03	A	Alimentary tract and metabolism
VANCOMYCIN	DRUG:VANCOMYCIN	CHEMBL262777	A07AA09	A	Alimentary tract and metabolism
VANCOMYCIN	DRUG:VANCOMYCIN	CHEMBL262777	J01XA01	J	Antiinfectives for systemic use
DELAFLOXACIN	DRUG:DELAFLOXACIN	CHEMBL2105637	J01MA23	J	Antiinfectives for systemic use
FRAMYCETIN	DRUG:FRAMYCETIN	CHEMBL184618	S01AA07	S	Sensory organs
PHENTERMINE	DRUG:PHENTERMINE	CHEMBL1574	A08AA01	A	Alimentary tract and metabolism
SULFAMETHIZOLE	DRUG:SULFAMETHIZOLE	CHEMBL1191	D06BA04	D	Dermatologicals
HYDROCORTISONE BUTYRATE	DRUG:HYDROCORTISONE BUTYRATE	CHEMBL1683	D07AB02	D	Dermatologicals
AMPHOTERICIN B	DRUG:AMPHOTERICIN B	CHEMBL267345	A07AA07	A	Alimentary tract and metabolism
NIRAPARIB	DRUG:NIRAPARIB	CHEMBL1094636	L01XK02	L	Antineoplastic and immunomodulating agents
HEXETIDINE	DRUG:HEXETIDINE	CHEMBL144673	G01AX16	G	Genito-urinary system and sex hormones
ISOSORBIDE DINITRATE	DRUG:ISOSORBIDE DINITRATE	CHEMBL6622	C05AE02	C	Cardiovascular system
LACIDIPINE	DRUG:LACIDIPINE	CHEMBL460291	C08CA09	C	Cardiovascular system
CARBAMAZEPINE	DRUG:CARBAMAZEPINE	CHEMBL108	N03AF01	N	Nervous system
AMMONIUM CHLORIDE	DRUG:AMMONIUM CHLORIDE	CHEMBL1200939	G04BA01	G	Genito-urinary system and sex hormones
CLOBETASOL PROPIONATE	DRUG:CLOBETASOL PROPIONATE	CHEMBL1159650	D07AD01	D	Dermatologicals
BENZOYL PEROXIDE	DRUG:BENZOYL PEROXIDE	CHEMBL1200370	D10AE51	D	Dermatologicals
DEXAMETHASONE	DRUG:DEXAMETHASONE	CHEMBL384467	R01AD03	R	Respiratory system
DEXAMETHASONE	DRUG:DEXAMETHASONE	CHEMBL384467	S02BA06	S	Sensory organs
DEXAMETHASONE	DRUG:DEXAMETHASONE	CHEMBL384467	S03BA01	S	Sensory organs
MOSAPRIDE	DRUG:MOSAPRIDE	CHEMBL60889	A03FA09	A	Alimentary tract and metabolism
IVERMECTIN	DRUG:IVERMECTIN	CHEMBL6067487	D11AX22	D	Dermatologicals
IVERMECTIN	DRUG:IVERMECTIN	CHEMBL6067487	P02CF01	P	Antiparasitic products
MAGNESIUM HYDROXIDE	DRUG:MAGNESIUM HYDROXIDE	CHEMBL1200718	A02AA04	A	Alimentary tract and metabolism
LIPEGFILGRASTIM	DRUG:LIPEGFILGRASTIM	CHEMBL4594230	L03AA14	L	Antineoplastic and immunomodulating agents
METRONIDAZOLE	DRUG:METRONIDAZOLE	CHEMBL137	G01AF01	G	Genito-urinary system and sex hormones
OLMESARTAN MEDOXOMIL	DRUG:OLMESARTAN MEDOXOMIL	CHEMBL1200692	C09CA08	C	Cardiovascular system
FEBUXOSTAT	DRUG:FEBUXOSTAT	CHEMBL1164729	M04AA03	M	Musculo-skeletal system
INDOBUFEN	DRUG:INDOBUFEN	CHEMBL1765292	B01AC10	B	Blood and blood forming organs
SODIUM BICARBONATE	DRUG:SODIUM BICARBONATE	CHEMBL1353	B05CB04	B	Blood and blood forming organs
CARVEDILOL	DRUG:CARVEDILOL	CHEMBL723	C07AG02	C	Cardiovascular system
CHLOROTHIAZIDE	DRUG:CHLOROTHIAZIDE	CHEMBL842	C03AA04	C	Cardiovascular system
BEZAFIBRATE	DRUG:BEZAFIBRATE	CHEMBL264374	C10AB02	C	Cardiovascular system
CHLORDIAZEPOXIDE	DRUG:CHLORDIAZEPOXIDE	CHEMBL451	N05BA02	N	Nervous system
LORAZEPAM	DRUG:LORAZEPAM	CHEMBL580	N05BA56	N	Nervous system
NELARABINE	DRUG:NELARABINE	CHEMBL1201112	L01BB07	L	Antineoplastic and immunomodulating agents
FOTEMUSTINE	DRUG:FOTEMUSTINE	CHEMBL549386	L01AD05	L	Antineoplastic and immunomodulating agents
DIATRIZOIC ACID	DRUG:DIATRIZOIC ACID	CHEMBL1201220	V08AA01	V	Various
ILOPROST	DRUG:ILOPROST	CHEMBL494	B01AC11	B	Blood and blood forming organs
NIACIN	DRUG:NIACIN	CHEMBL573	C10AD02	C	Cardiovascular system
CHLORPROTHIXENE	DRUG:CHLORPROTHIXENE	CHEMBL908	N05AF03	N	Nervous system
PROPIVERINE	DRUG:PROPIVERINE	CHEMBL1078261	G04BD06	G	Genito-urinary system and sex hormones
IBUPROFEN	DRUG:IBUPROFEN	CHEMBL521	R02AX02	R	Respiratory system
HYMECROMONE	DRUG:HYMECROMONE	CHEMBL12208	A05AX02	A	Alimentary tract and metabolism
PREDNICARBATE	DRUG:PREDNICARBATE	CHEMBL1200386	D07AC18	D	Dermatologicals
PROPYLTHIOURACIL	DRUG:PROPYLTHIOURACIL	CHEMBL1518	H03BA02	H	Systemic hormonal preparations
DIFLUPREDNATE	DRUG:DIFLUPREDNATE	CHEMBL1201749	S01BA16	S	Sensory organs
FLUTICASONE PROPIONATE	DRUG:FLUTICASONE PROPIONATE	CHEMBL1473	D07AC17	D	Dermatologicals
FLUTICASONE PROPIONATE	DRUG:FLUTICASONE PROPIONATE	CHEMBL1473	R01AD08	R	Respiratory system
TINIDAZOLE	DRUG:TINIDAZOLE	CHEMBL1220	G01AF21	G	Genito-urinary system and sex hormones
TINIDAZOLE	DRUG:TINIDAZOLE	CHEMBL1220	P01AB02	P	Antiparasitic products
MOMETASONE FUROATE	DRUG:MOMETASONE FUROATE	CHEMBL1161	R01AD09	R	Respiratory system
THEOPHYLLINE	DRUG:THEOPHYLLINE	CHEMBL1355736	R03DA74	R	Respiratory system
LOVASTATIN	DRUG:LOVASTATIN	CHEMBL503	C10AA02	C	Cardiovascular system
DAPAGLIFLOZIN	DRUG:DAPAGLIFLOZIN	CHEMBL429910	A10BK01	A	Alimentary tract and metabolism
TERLIPRESSIN	DRUG:TERLIPRESSIN	CHEMBL2135460	H01BA04	H	Systemic hormonal preparations
PEGFILGRASTIM	DRUG:PEGFILGRASTIM	CHEMBL1201568	L03AA13	L	Antineoplastic and immunomodulating agents
BECAPLERMIN	DRUG:BECAPLERMIN	CHEMBL1201556	A01AD08	A	Alimentary tract and metabolism
IMIGLUCERASE	DRUG:IMIGLUCERASE	CHEMBL1201632	A16AB02	A	Alimentary tract and metabolism
TEMOCILLIN	DRUG:TEMOCILLIN	CHEMBL1276310	J01CA17	J	Antiinfectives for systemic use
RIFAMYCIN	DRUG:RIFAMYCIN	CHEMBL437765	A07AA13	A	Alimentary tract and metabolism
RIFAMYCIN	DRUG:RIFAMYCIN	CHEMBL437765	J04AB03	J	Antiinfectives for systemic use
MERCAPTOPURINE	DRUG:MERCAPTOPURINE	CHEMBL1200751	L01BB02	L	Antineoplastic and immunomodulating agents
GLICLAZIDE	DRUG:GLICLAZIDE	CHEMBL427216	A10BB09	A	Alimentary tract and metabolism
PRASTERONE	DRUG:PRASTERONE	CHEMBL90593	A14AA07	A	Alimentary tract and metabolism
PRASTERONE	DRUG:PRASTERONE	CHEMBL90593	G03XX01	G	Genito-urinary system and sex hormones
TRIFLURIDINE	DRUG:TRIFLURIDINE	CHEMBL1129	S01AD02	S	Sensory organs
NAPROXEN	DRUG:NAPROXEN	CHEMBL154	M02AA12	M	Musculo-skeletal system
TOLPERISONE	DRUG:TOLPERISONE	CHEMBL1076211	M03BX04	M	Musculo-skeletal system
SODIUM CHLORIDE	DRUG:SODIUM CHLORIDE	CHEMBL1200574	B05CB01	B	Blood and blood forming organs
SODIUM CHLORIDE	DRUG:SODIUM CHLORIDE	CHEMBL1200574	B05XA03	B	Blood and blood forming organs
RIFABUTIN	DRUG:RIFABUTIN	CHEMBL444633	J04AB04	J	Antiinfectives for systemic use
ETOPOSIDE	DRUG:ETOPOSIDE	CHEMBL44657	L01CB01	L	Antineoplastic and immunomodulating agents
THYROTROPIN ALFA	DRUG:THYROTROPIN ALFA	CHEMBL1201533	H01AB01	H	Systemic hormonal preparations
TRIAMCINOLONE	DRUG:TRIAMCINOLONE	CHEMBL1451	S01BA05	S	Sensory organs
MEGESTROL ACETATE	DRUG:MEGESTROL ACETATE	CHEMBL1201139	G03DB02	G	Genito-urinary system and sex hormones
LENALIDOMIDE	DRUG:LENALIDOMIDE	CHEMBL848	L04AX04	L	Antineoplastic and immunomodulating agents
ANAKINRA	DRUG:ANAKINRA	CHEMBL1201570	L04AC03	L	Antineoplastic and immunomodulating agents
LARONIDASE	DRUG:LARONIDASE	CHEMBL1201595	A16AB05	A	Alimentary tract and metabolism
POVIDONE-IODINE	DRUG:POVIDONE-IODINE	CHEMBL1201724	G01AX11	G	Genito-urinary system and sex hormones
TRABECTEDIN	DRUG:TRABECTEDIN	CHEMBL450449	L01CX01	L	Antineoplastic and immunomodulating agents
LACTULOSE	DRUG:LACTULOSE	CHEMBL296306	A06AD11	A	Alimentary tract and metabolism
TRICLOSAN	DRUG:TRICLOSAN	CHEMBL849	D09AA06	D	Dermatologicals
TOPOTECAN	DRUG:TOPOTECAN	CHEMBL84	L01CE01	L	Antineoplastic and immunomodulating agents
CEFOPERAZONE	DRUG:CEFOPERAZONE	CHEMBL507674	J01DD12	J	Antiinfectives for systemic use
PROCAINE	DRUG:PROCAINE	CHEMBL569	C05AD05	C	Cardiovascular system
DILTIAZEM	DRUG:DILTIAZEM	CHEMBL23	C08DB01	C	Cardiovascular system
CARBON DIOXIDE	DRUG:CARBON DIOXIDE	CHEMBL1231871	V03AN02	V	Various
CHOLECALCIFEROL	DRUG:CHOLECALCIFEROL	CHEMBL1042	A11CC05	A	Alimentary tract and metabolism
MIPOMERSEN	DRUG:MIPOMERSEN	CHEMBL2219536	C10AX11	C	Cardiovascular system
MEZLOCILLIN	DRUG:MEZLOCILLIN	CHEMBL1731	J01CA10	J	Antiinfectives for systemic use
CHLORAMPHENICOL	DRUG:CHLORAMPHENICOL	CHEMBL130	G01AA05	G	Genito-urinary system and sex hormones
CETIRIZINE	DRUG:CETIRIZINE	CHEMBL1000	R06AE07	R	Respiratory system
TAMOXIFEN	DRUG:TAMOXIFEN	CHEMBL83	L02BA01	L	Antineoplastic and immunomodulating agents
BENZYDAMINE	DRUG:BENZYDAMINE	CHEMBL12610	M02AA05	M	Musculo-skeletal system
NEPAFENAC	DRUG:NEPAFENAC	CHEMBL1021	S01BC10	S	Sensory organs
BETAINE	DRUG:BETAINE	CHEMBL95889	A16AA06	A	Alimentary tract and metabolism
THIOPENTAL	DRUG:THIOPENTAL	CHEMBL441	N05CA19	N	Nervous system
VENLAFAXINE	DRUG:VENLAFAXINE	CHEMBL637	N06AX16	N	Nervous system
CHLORHEXIDINE	DRUG:CHLORHEXIDINE	CHEMBL790	B05CA02	B	Blood and blood forming organs
CHLORHEXIDINE	DRUG:CHLORHEXIDINE	CHEMBL790	D08AC52	D	Dermatologicals
SITAGLIPTIN	DRUG:SITAGLIPTIN	CHEMBL1422	A10BH01	A	Alimentary tract and metabolism
PAZOPANIB	DRUG:PAZOPANIB	CHEMBL477772	L01EX03	L	Antineoplastic and immunomodulating agents
DOXEPIN	DRUG:DOXEPIN	CHEMBL1628227	D04AX01	D	Dermatologicals
DOXEPIN	DRUG:DOXEPIN	CHEMBL1628227	N06AA12	N	Nervous system
DOXAZOSIN	DRUG:DOXAZOSIN	CHEMBL707	C02CA04	C	Cardiovascular system
ACETYLCYSTEINE	DRUG:ACETYLCYSTEINE	CHEMBL600	S01XA08	S	Sensory organs
TETRACAINE	DRUG:TETRACAINE	CHEMBL698	S01HA03	S	Sensory organs
PHENOBARBITAL	DRUG:PHENOBARBITAL	CHEMBL40	N03AA02	N	Nervous system
WARFARIN	DRUG:WARFARIN	CHEMBL1464	B01AA03	B	Blood and blood forming organs
TRAZODONE	DRUG:TRAZODONE	CHEMBL621	N06AX05	N	Nervous system
RABEPRAZOLE	DRUG:RABEPRAZOLE	CHEMBL1219	A02BC04	A	Alimentary tract and metabolism
PAPAVERINE	DRUG:PAPAVERINE	CHEMBL19224	A03AD01	A	Alimentary tract and metabolism
PSEUDOEPHEDRINE	DRUG:PSEUDOEPHEDRINE	CHEMBL1590	R01BA02	R	Respiratory system
LIDOCAINE	DRUG:LIDOCAINE	CHEMBL79	S01HA07	S	Sensory organs
EPINEPHRINE	DRUG:EPINEPHRINE	CHEMBL679	A01AD01	A	Alimentary tract and metabolism
DORNASE ALFA	DRUG:DORNASE ALFA	CHEMBL1201431	R05CB13	R	Respiratory system
FINGOLIMOD	DRUG:FINGOLIMOD	CHEMBL314854	L04AE01	L	Antineoplastic and immunomodulating agents
RIMEXOLONE	DRUG:RIMEXOLONE	CHEMBL1200617	H02AB12	H	Systemic hormonal preparations
RIMEXOLONE	DRUG:RIMEXOLONE	CHEMBL1200617	S01BA13	S	Sensory organs
NOREPINEPHRINE	DRUG:NOREPINEPHRINE	CHEMBL1437	C01CA03	C	Cardiovascular system
GLYBURIDE	DRUG:GLYBURIDE	CHEMBL472	A10BB01	A	Alimentary tract and metabolism
METHADONE	DRUG:METHADONE	CHEMBL651	N02AC52	N	Nervous system
ISOPROTERENOL	DRUG:ISOPROTERENOL	CHEMBL434	R03CB51	R	Respiratory system
NEOMYCIN	DRUG:NEOMYCIN	CHEMBL3989751	A07AA51	A	Alimentary tract and metabolism
NEOMYCIN	DRUG:NEOMYCIN	CHEMBL3989751	S03AA01	S	Sensory organs
DIHYDROERGOTAMINE	DRUG:DIHYDROERGOTAMINE	CHEMBL1732	N02CA51	N	Nervous system
LORCASERIN	DRUG:LORCASERIN	CHEMBL360328	A08AA11	A	Alimentary tract and metabolism
ROLAPITANT	DRUG:ROLAPITANT	CHEMBL3707331	A04AD14	A	Alimentary tract and metabolism
MELOXICAM	DRUG:MELOXICAM	CHEMBL599	M01AC56	M	Musculo-skeletal system
SELEGILINE	DRUG:SELEGILINE	CHEMBL972	N04BD01	N	Nervous system
LEVOCETIRIZINE	DRUG:LEVOCETIRIZINE	CHEMBL1201191	R06AE09	R	Respiratory system
NITROFURANTOIN	DRUG:NITROFURANTOIN	CHEMBL572	J01XE51	J	Antiinfectives for systemic use
PREDNISOLONE	DRUG:PREDNISOLONE	CHEMBL131	C05AA04	C	Cardiovascular system
PREDNISOLONE	DRUG:PREDNISOLONE	CHEMBL131	S03BA02	S	Sensory organs
FLUCONAZOLE	DRUG:FLUCONAZOLE	CHEMBL106	J02AC01	J	Antiinfectives for systemic use
RISDIPLAM	DRUG:RISDIPLAM	CHEMBL4297528	M09AX10	M	Musculo-skeletal system
OLUTASIDENIB	DRUG:OLUTASIDENIB	CHEMBL4297610	L01XM03	L	Antineoplastic and immunomodulating agents
MOSUNETUZUMAB	DRUG:MOSUNETUZUMAB	CHEMBL4297788	L01FX25	L	Antineoplastic and immunomodulating agents
PEGVALIASE	DRUG:PEGVALIASE	CHEMBL4297802	A16AB19	A	Alimentary tract and metabolism
MONTMORILLONITE	DRUG:MONTMORILLONITE	CHEMBL4298106	A07BC05	A	Alimentary tract and metabolism
PHENYLEPHRINE	DRUG:PHENYLEPHRINE	CHEMBL1215	R01BA03	R	Respiratory system
PHENYLEPHRINE	DRUG:PHENYLEPHRINE	CHEMBL1215	S01FB01	S	Sensory organs
FULVESTRANT	DRUG:FULVESTRANT	CHEMBL1358	L02BA03	L	Antineoplastic and immunomodulating agents
PENICILLAMINE	DRUG:PENICILLAMINE	CHEMBL1430	M01CC01	M	Musculo-skeletal system
REPAGLINIDE	DRUG:REPAGLINIDE	CHEMBL1272	A10BX02	A	Alimentary tract and metabolism
DISULFIRAM	DRUG:DISULFIRAM	CHEMBL964	P03AA54	P	Antiparasitic products
POSACONAZOLE	DRUG:POSACONAZOLE	CHEMBL1397	J02AC04	J	Antiinfectives for systemic use
TOLBUTAMIDE	DRUG:TOLBUTAMIDE	CHEMBL782	V04CA01	V	Various
VIGABATRIN	DRUG:VIGABATRIN	CHEMBL89598	N03AG04	N	Nervous system
RIFAMPIN	DRUG:RIFAMPIN	CHEMBL374478	J04AB02	J	Antiinfectives for systemic use
ACITRETIN	DRUG:ACITRETIN	CHEMBL1131	D05BB02	D	Dermatologicals
MAGNESIUM OXIDE	DRUG:MAGNESIUM OXIDE	CHEMBL1200572	A12CC10	A	Alimentary tract and metabolism
NEOSTIGMINE	DRUG:NEOSTIGMINE	CHEMBL278020	N07AA01	N	Nervous system
DEXPANTHENOL	DRUG:DEXPANTHENOL	CHEMBL1200979	D03AX03	D	Dermatologicals
FUSIDIC ACID	DRUG:FUSIDIC ACID	CHEMBL374975	S01AA13	S	Sensory organs
BIMATOPROST	DRUG:BIMATOPROST	CHEMBL1200963	S01EE03	S	Sensory organs
INOSITOL	DRUG:INOSITOL	CHEMBL1222251	A11HA07	A	Alimentary tract and metabolism
DESVENLAFAXINE	DRUG:DESVENLAFAXINE	CHEMBL1118	N06AX23	N	Nervous system
CLENBUTEROL	DRUG:CLENBUTEROL	CHEMBL49080	R03CC13	R	Respiratory system
GATIFLOXACIN	DRUG:GATIFLOXACIN	CHEMBL31	J01MA16	J	Antiinfectives for systemic use
ATOVAQUONE	DRUG:ATOVAQUONE	CHEMBL1450	P01AX06	P	Antiparasitic products
CISPLATIN	DRUG:CISPLATIN	CHEMBL11359	L01XA01	L	Antineoplastic and immunomodulating agents
NATAMYCIN	DRUG:NATAMYCIN	CHEMBL1200656	A07AA03	A	Alimentary tract and metabolism
ALENDRONIC ACID	DRUG:ALENDRONIC ACID	CHEMBL870	M05BA04	M	Musculo-skeletal system
HYDROCORTISONE	DRUG:HYDROCORTISONE	CHEMBL389621	A01AC03	A	Alimentary tract and metabolism
HYDROCORTISONE	DRUG:HYDROCORTISONE	CHEMBL389621	R01AD60	R	Respiratory system
SODIUM FLUORIDE	DRUG:SODIUM FLUORIDE	CHEMBL1528	A01AA51	A	Alimentary tract and metabolism
SODIUM FLUORIDE	DRUG:SODIUM FLUORIDE	CHEMBL1528	A12CD01	A	Alimentary tract and metabolism
TRANYLCYPROMINE	DRUG:TRANYLCYPROMINE	CHEMBL3989843	N06AF04	N	Nervous system
CEVIMELINE	DRUG:CEVIMELINE	CHEMBL168815	N07AX03	N	Nervous system
GENTAMICIN	DRUG:GENTAMICIN	CHEMBL6067485	D06AX07	D	Dermatologicals
GENTAMICIN	DRUG:GENTAMICIN	CHEMBL6067485	S03AA06	S	Sensory organs
DICLOFENAC	DRUG:DICLOFENAC	CHEMBL139	M01AB05	M	Musculo-skeletal system
SAQUINAVIR	DRUG:SAQUINAVIR	CHEMBL114	J05AE01	J	Antiinfectives for systemic use
SILODOSIN	DRUG:SILODOSIN	CHEMBL24778	G04CA04	G	Genito-urinary system and sex hormones
BETAMETHASONE	DRUG:BETAMETHASONE	CHEMBL632	R03BA04	R	Respiratory system
BETAMETHASONE	DRUG:BETAMETHASONE	CHEMBL632	S01BA06	S	Sensory organs
LOSARTAN	DRUG:LOSARTAN	CHEMBL191	C09CA01	C	Cardiovascular system
COLISTIN	DRUG:COLISTIN	CHEMBL6067481	J01XB01	J	Antiinfectives for systemic use
DOPAMINE	DRUG:DOPAMINE	CHEMBL59	C01CA04	C	Cardiovascular system
DEXTROMETHORPHAN	DRUG:DEXTROMETHORPHAN	CHEMBL52440	R05DA09	R	Respiratory system
FILGRASTIM	DRUG:FILGRASTIM	CHEMBL1201567	L03AA02	L	Antineoplastic and immunomodulating agents
ONDANSETRON	DRUG:ONDANSETRON	CHEMBL46	A04AA01	A	Alimentary tract and metabolism
HYDROXYUREA	DRUG:HYDROXYUREA	CHEMBL467	L01XX05	L	Antineoplastic and immunomodulating agents
MEDROXYPROGESTERONE ACETATE	DRUG:MEDROXYPROGESTERONE ACETATE	CHEMBL717	L02AB02	L	Antineoplastic and immunomodulating agents
