id	name	category
AE:Acute interstitial pneumonitis	Acute interstitial pneumonitis	AdverseEvent
AE:Acute kidney injury	Acute kidney injury	AdverseEvent
AE:Acute left ventricular failure	Acute left ventricular failure	AdverseEvent
AE:Acute leukaemia	Acute leukaemia	AdverseEvent
AE:Acute lung injury	Acute lung injury	AdverseEvent
AE:Acute lymphocytic leukaemia	Acute lymphocytic leukaemia	AdverseEvent
AE:Acute lymphocytic leukaemia recurrent	Acute lymphocytic leukaemia recurrent	AdverseEvent
AE:Acute lymphocytic leukaemia refractory	Acute lymphocytic leukaemia refractory	AdverseEvent
AE:Acute macular neuroretinopathy	Acute macular neuroretinopathy	AdverseEvent
AE:Acute megakaryocytic leukaemia	Acute megakaryocytic leukaemia	AdverseEvent
AE:Acute monocytic leukaemia	Acute monocytic leukaemia	AdverseEvent
AE:Acute motor-sensory axonal neuropathy	Acute motor-sensory axonal neuropathy	AdverseEvent
AE:Acute myeloid leukaemia	Acute myeloid leukaemia	AdverseEvent
AE:Acute myeloid leukaemia recurrent	Acute myeloid leukaemia recurrent	AdverseEvent
AE:Acute myeloid leukaemia refractory	Acute myeloid leukaemia refractory	AdverseEvent
AE:Acute myelomonocytic leukaemia	Acute myelomonocytic leukaemia	AdverseEvent
AE:Acute myocardial infarction	Acute myocardial infarction	AdverseEvent
AE:Acute myopia	Acute myopia	AdverseEvent
AE:Acute on chronic liver failure	Acute on chronic liver failure	AdverseEvent
AE:Acute painful neuropathy of rapid glycaemic control	Acute painful neuropathy of rapid glycaemic control	AdverseEvent
AE:Acute phase reaction	Acute phase reaction	AdverseEvent
AE:Acute phosphate nephropathy	Acute phosphate nephropathy	AdverseEvent
AE:Acute polyneuropathy	Acute polyneuropathy	AdverseEvent
AE:Acute postoperative sialadenitis	Acute postoperative sialadenitis	AdverseEvent
AE:Acute prerenal failure	Acute prerenal failure	AdverseEvent
AE:Acute promyelocytic leukaemia	Acute promyelocytic leukaemia	AdverseEvent
AE:Acute promyelocytic leukaemia differentiation syndrome	Acute promyelocytic leukaemia differentiation syndrome	AdverseEvent
AE:Acute psychosis	Acute psychosis	AdverseEvent
AE:Acute pulmonary histoplasmosis	Acute pulmonary histoplasmosis	AdverseEvent
AE:Acute pulmonary oedema	Acute pulmonary oedema	AdverseEvent
AE:Acute respiratory distress syndrome	Acute respiratory distress syndrome	AdverseEvent
AE:Acute respiratory failure	Acute respiratory failure	AdverseEvent
AE:Acute right ventricular failure	Acute right ventricular failure	AdverseEvent
AE:Acute sinusitis	Acute sinusitis	AdverseEvent
AE:Acute stress disorder	Acute stress disorder	AdverseEvent
AE:Adactyly	Adactyly	AdverseEvent
AE:Addison's disease	Addison's disease	AdverseEvent
AE:Adenocarcinoma	Adenocarcinoma	AdverseEvent
AE:Adenocarcinoma gastric	Adenocarcinoma gastric	AdverseEvent
AE:Adenocarcinoma metastatic	Adenocarcinoma metastatic	AdverseEvent
AE:Adenocarcinoma of colon	Adenocarcinoma of colon	AdverseEvent
AE:Adenocarcinoma of the cervix	Adenocarcinoma of the cervix	AdverseEvent
AE:Adenocarcinoma pancreas	Adenocarcinoma pancreas	AdverseEvent
AE:Adenoid cystic carcinoma	Adenoid cystic carcinoma	AdverseEvent
