entity	id
AE:ACTINOMYCES_TEST_POSITIVE	220
AE:ACTINOMYCOSIS	221
AE:ACTINOMYCOTIC_PULMONARY_INFECTION	222
AE:ACTINOMYCOTIC_SEPSIS	223
AE:ACTINOMYCOTIC_SKIN_INFECTION	224
AE:ACTION_TREMOR	225
AE:ACTIVATED_PARTIAL_THROMBOPLASTIN_TIME	226
AE:ACTIVATED_PARTIAL_THROMBOPLASTIN_TIME_ABNORMAL	227
AE:ACTIVATED_PARTIAL_THROMBOPLASTIN_TIME_PROLONGED	228
AE:ACTIVATED_PARTIAL_THROMBOPLASTIN_TIME_RATIO_INCREASED	229
AE:ACTIVATED_PARTIAL_THROMBOPLASTIN_TIME_SHORTENED	230
AE:ACTIVATED_PI3_KINASE_DELTA_SYNDROME	231
AE:ACTIVATED_PROTEIN_C_RESISTANCE	232
AE:ACTIVATION_SYNDROME	233
AE:ACTIVITIES_OF_DAILY_LIVING_DECREASED	234
AE:ACTIVITIES_OF_DAILY_LIVING_IMPAIRED	235
AE:ACUPUNCTURE	236
AE:ACUTE_ABDOMEN	237
AE:ACUTE_ALLOGRAFT_NEPHROPATHY	238
AE:ACUTE_AORTIC_SYNDROME	239
AE:ACUTE_BIPHENOTYPIC_LEUKAEMIA	240
AE:ACUTE_CARDIAC_EVENT	241
AE:ACUTE_CHEST_SYNDROME	242
AE:ACUTE_CHOLECYSTITIS_NECROTIC	243
AE:ACUTE_CORONARY_SYNDROME	244
AE:ACUTE_CUTANEOUS_LUPUS_ERYTHEMATOSUS	245
AE:ACUTE_DISSEMINATED_ENCEPHALOMYELITIS	246
AE:ACUTE_ENCEPHALITIS_WITH_REFRACTORY,_REPETITIVE_PARTIAL_SEIZURES	247
AE:ACUTE_ENDOCARDITIS	248
AE:ACUTE_ERYTHROID_LEUKAEMIA	249
AE:ACUTE_FATTY_LIVER_OF_PREGNANCY	250
AE:ACUTE_FEBRILE_NEUTROPHILIC_DERMATOSIS	251
AE:ACUTE_FLACCID_MYELITIS	252
AE:ACUTE_FOCAL_BACTERIAL_NEPHRITIS	253
AE:ACUTE_GENERALISED_EXANTHEMATOUS_PUSTULOSIS	254
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE	255
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE_IN_EYE	256
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE_IN_INTESTINE	257
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE_IN_LIVER	258
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE_IN_SKIN	259
AE:ACUTE_GRAFT_VERSUS_HOST_DISEASE_ORAL	260
AE:ACUTE_HAEMOLYTIC_TRANSFUSION_REACTION	261
AE:ACUTE_HAEMORRHAGIC_LEUKOENCEPHALITIS	262
AE:ACUTE_HAEMORRHAGIC_OEDEMA_OF_INFANCY	263
AE:ACUTE_HAEMORRHAGIC_ULCERATIVE_COLITIS	264
AE:ACUTE_HEPATIC_FAILURE	265
AE:ACUTE_HEPATITIS_B	266
AE:ACUTE_HEPATITIS_C	267
AE:ACUTE_HIV_INFECTION	268
AE:ACUTE_INTERSTITIAL_PNEUMONITIS	269
AE:ACUTE_KIDNEY_INJURY	270
AE:ACUTE_LEFT_VENTRICULAR_FAILURE	271
AE:ACUTE_LEUKAEMIA	272
AE:ACUTE_LUNG_INJURY	273
AE:ACUTE_LYMPHOCYTIC_LEUKAEMIA	274
AE:ACUTE_LYMPHOCYTIC_LEUKAEMIA_RECURRENT	275
AE:ACUTE_LYMPHOCYTIC_LEUKAEMIA_REFRACTORY	276
AE:ACUTE_MACULAR_NEURORETINOPATHY	277
AE:ACUTE_MACULAR_OUTER_RETINOPATHY	278
AE:ACUTE_MEGAKARYOCYTIC_LEUKAEMIA	279
AE:ACUTE_MONOCYTIC_LEUKAEMIA	280
AE:ACUTE_MOTOR-SENSORY_AXONAL_NEUROPATHY	281
AE:ACUTE_MOTOR_AXONAL_NEUROPATHY	282
AE:ACUTE_MYELOID_LEUKAEMIA	283
AE:ACUTE_MYELOID_LEUKAEMIA_(IN_REMISSION)	284
AE:ACUTE_MYELOID_LEUKAEMIA_RECURRENT	285
AE:ACUTE_MYELOID_LEUKAEMIA_REFRACTORY	286
AE:ACUTE_MYELOMONOCYTIC_LEUKAEMIA	287
AE:ACUTE_MYOCARDIAL_INFARCTION	288
AE:ACUTE_MYOPIA	289
AE:ACUTE_NECROTISING_MYELITIS	290
AE:ACUTE_OESOPHAGEAL_MUCOSAL_LESION	291
AE:ACUTE_ON_CHRONIC_LIVER_FAILURE	292
AE:ACUTE_PAINFUL_NEUROPATHY_OF_RAPID_GLYCAEMIC_CONTROL	293
AE:ACUTE_PHASE_REACTION	294
AE:ACUTE_PHOSPHATE_NEPHROPATHY	295
AE:ACUTE_POLYNEUROPATHY	296
AE:ACUTE_POSTOPERATIVE_SIALADENITIS	297
AE:ACUTE_PRERENAL_FAILURE	298
AE:ACUTE_PROMYELOCYTIC_LEUKAEMIA	299
AE:ACUTE_PROMYELOCYTIC_LEUKAEMIA_DIFFERENTIATION_SYNDROME	300
AE:ACUTE_PSYCHOSIS	301
AE:ACUTE_PULMONARY_HISTOPLASMOSIS	302
AE:ACUTE_PULMONARY_OEDEMA	303
AE:ACUTE_RESPIRATORY_DISTRESS_SYNDROME	304
AE:ACUTE_RESPIRATORY_FAILURE	305
AE:ACUTE_RIGHT_VENTRICULAR_FAILURE	306
AE:ACUTE_SINUSITIS	307
AE:ACUTE_STRESS_DISORDER	308
AE:ACUTE_TONSILLITIS	309
AE:ACUTE_VESTIBULAR_SYNDROME	310
AE:ADACTYLY	311
AE:ADAMS-STOKES_SYNDROME	312
AE:ADAMTS13_ACTIVITY_ABNORMAL	313
AE:ADAMTS13_ACTIVITY_DECREASED	314
AE:ADAMTS13_ACTIVITY_INCREASED	315
AE:ADCY5-RELATED_DYSKINESIA	316
AE:ADDISON'S_DISEASE	317
AE:ADENOCARCINOMA	318
AE:ADENOCARCINOMA_GASTRIC	319
AE:ADENOCARCINOMA_METASTATIC	320
AE:ADENOCARCINOMA_OF_APPENDIX	321
AE:ADENOCARCINOMA_OF_COLON	322
AE:ADENOCARCINOMA_OF_SALIVARY_GLAND	323
AE:ADENOCARCINOMA_OF_THE_CERVIX	324
AE:ADENOCARCINOMA_PANCREAS	325
AE:ADENOIDAL_DISORDER	326
AE:ADENOIDAL_HYPERTROPHY	327
AE:ADENOIDECTOMY	328
AE:ADENOIDITIS	329
AE:ADENOID_CYSTIC_CARCINOMA	330
AE:ADENOMATOUS_POLYPOSIS_COLI	331
AE:ADENOMA_BENIGN	332
AE:ADENOMYOSIS	333
AE:ADENOSINE_DEAMINASE_2_DEFICIENCY	334
AE:ADENOSINE_DEAMINASE_DECREASED	335
AE:ADENOSINE_DEAMINASE_INCREASED	336
AE:ADENOSQUAMOUS_CELL_CARCINOMA	337
AE:ADENOSQUAMOUS_CELL_LUNG_CANCER	338
AE:ADENOSQUAMOUS_CELL_LUNG_CANCER_STAGE_IV	339
AE:ADENOTONSILLECTOMY	340
AE:ADENOVIRAL_CONJUNCTIVITIS	341
AE:ADENOVIRAL_ENCEPHALITIS	342
AE:ADENOVIRAL_HAEMORRHAGIC_CYSTITIS	343
AE:ADENOVIRAL_HEPATITIS	344
AE:ADENOVIRAL_UPPER_RESPIRATORY_INFECTION	345
AE:ADENOVIRUS_INFECTION	346
AE:ADENOVIRUS_INTERSTITIAL_NEPHRITIS	347
AE:ADENOVIRUS_REACTIVATION	348
AE:ADENOVIRUS_TEST_POSITIVE	349
AE:ADHESIOLYSIS	350
AE:ADHESION	351
AE:ADHESIVE_TAPE_USE	352
AE:ADIPOMASTIA	353
AE:ADIPOSIS_DOLOROSA	354
AE:ADJACENT_SEGMENT_DEGENERATION	355
AE:ADJUSTED_CALCIUM_DECREASED	356
AE:ADJUSTED_CALCIUM_INCREASED	357
AE:ADJUSTMENT_DISORDER	358
AE:ADJUSTMENT_DISORDER_WITH_ANXIETY	359
AE:ADJUSTMENT_DISORDER_WITH_DEPRESSED_MOOD	360
AE:ADJUSTMENT_DISORDER_WITH_DISTURBANCE_OF_CONDUCT	361
AE:ADJUSTMENT_DISORDER_WITH_MIXED_ANXIETY_AND_DEPRESSED_MOOD	362
AE:ADMINISTRATION_RELATED_REACTION	363
AE:ADMINISTRATION_SITE_ABSCESS	364
AE:ADMINISTRATION_SITE_ABSCESS_STERILE	365
AE:ADMINISTRATION_SITE_BRUISE	366
AE:ADMINISTRATION_SITE_CELLULITIS	367
AE:ADMINISTRATION_SITE_DERMATITIS	368
AE:ADMINISTRATION_SITE_DISCHARGE	369
AE:ADMINISTRATION_SITE_DISCOLOURATION	370
AE:ADMINISTRATION_SITE_DISCOMFORT	371
AE:ADMINISTRATION_SITE_DRYNESS	372
AE:ADMINISTRATION_SITE_ERYTHEMA	373
AE:ADMINISTRATION_SITE_EXTRAVASATION	374
AE:ADMINISTRATION_SITE_HAEMATOMA	375
AE:ADMINISTRATION_SITE_HAEMORRHAGE	376
AE:ADMINISTRATION_SITE_HYPERSENSITIVITY	377
AE:ADMINISTRATION_SITE_INDENTATION	378
AE:ADMINISTRATION_SITE_INDURATION	379
AE:ADMINISTRATION_SITE_INFECTION	380
AE:ADMINISTRATION_SITE_INFLAMMATION	381
AE:ADMINISTRATION_SITE_INJURY	382
AE:ADMINISTRATION_SITE_IRRITATION	383
AE:ADMINISTRATION_SITE_JOINT_ERYTHEMA	384
AE:ADMINISTRATION_SITE_MASS	385
AE:ADMINISTRATION_SITE_NECROSIS	386
AE:ADMINISTRATION_SITE_NODULE	387
AE:ADMINISTRATION_SITE_ODOUR	388
AE:ADMINISTRATION_SITE_OEDEMA	389
AE:ADMINISTRATION_SITE_PAIN	390
AE:ADMINISTRATION_SITE_PHLEBITIS	391
AE:ADMINISTRATION_SITE_PLAQUE	392
AE:ADMINISTRATION_SITE_PRURITUS	393
AE:ADMINISTRATION_SITE_RASH	394
AE:ADMINISTRATION_SITE_REACTION	395
AE:ADMINISTRATION_SITE_SCAB	396
AE:ADMINISTRATION_SITE_SCAR	397
AE:ADMINISTRATION_SITE_SWELLING	398
AE:ADMINISTRATION_SITE_ULCER	399
AE:ADMINISTRATION_SITE_URTICARIA	400
AE:ADMINISTRATION_SITE_VESICLES	401
AE:ADMINISTRATION_SITE_WARMTH	402
AE:ADMINISTRATION_SITE_WOUND	403
AE:ADNEXAL_TORSION	404
AE:ADNEXA_UTERI_CYST	405
AE:ADNEXA_UTERI_MASS	406
AE:ADNEXA_UTERI_PAIN	407
AE:ADRENALECTOMY	408
AE:ADRENALITIS	409
AE:ADRENAL_ADENOMA	410
AE:ADRENAL_ANDROGEN_EXCESS	411
AE:ADRENAL_ATROPHY	412
AE:ADRENAL_CALCIFICATION	413
AE:ADRENAL_CORTEX_NECROSIS	414
AE:ADRENAL_CYST	415
AE:ADRENAL_DISORDER	416
AE:ADRENAL_GLAND_CANCER	417
AE:ADRENAL_GLAND_CANCER_METASTATIC	418
AE:ADRENAL_GLAND_INJURY	419
AE:ADRENAL_GLAND_OPERATION	420
AE:ADRENAL_HAEMATOMA	421
AE:ADRENAL_HAEMORRHAGE	422
AE:ADRENAL_INSUFFICIENCY	423
AE:ADRENAL_INSUFFICIENCY_NEONATAL	424
AE:ADRENAL_MASS	425
AE:ADRENAL_NEOPLASM	426
AE:ADRENAL_SUPPRESSION	427
AE:ADRENAL_THROMBOSIS	428
AE:ADRENERGIC_SYNDROME	429
AE:ADRENOCORTICAL_CARCINOMA	430
AE:ADRENOCORTICAL_INSUFFICIENCY_ACUTE	431
AE:ADRENOCORTICOTROPIC_HORMONE_DEFICIENCY	432
AE:ADRENOGENITAL_SYNDROME	433
AE:ADRENOLEUKODYSTROPHY	434
AE:ADRENOMEGALY	435
AE:ADULTERATED_PRODUCT	436
AE:ADULT_FAILURE_TO_THRIVE	437
AE:ADULT_T-CELL_LYMPHOMA/LEUKAEMIA	438
AE:ADULT_T-CELL_LYMPHOMA/LEUKAEMIA_RECURRENT	439
AE:ADVERSE_DRUG_REACTION	440
AE:ADVERSE_EVENT	441
AE:ADVERSE_EVENT_FOLLOWING_IMMUNISATION	442
AE:ADVERSE_FOOD_REACTION	443
AE:ADVERSE_REACTION	444
AE:AEROCOCCUS_URINAE_INFECTION	445
AE:AEROMONAS_INFECTION	446
AE:AEROMONAS_TEST_POSITIVE	447
AE:AEROMONA_INFECTION	448
AE:AEROPHAGIA	449
AE:AESTHESIONEUROBLASTOMA	450
AE:AFFECTIVE_AMBIVALENCE	451
AE:AFFECTIVE_DISORDER	452
AE:AFFECT_LABILITY	453
AE:AFRICAN_TRYPANOSOMIASIS	454
AE:AFTERBIRTH_PAIN	455
AE:AGE-RELATED_MACULAR_DEGENERATION	456
AE:AGEP-DRESS_OVERLAP	457
AE:AGEUSIA	458
AE:AGGRESSION	459
AE:AGITATED_DEPRESSION	460
AE:AGITATION	461
AE:AGITATION_NEONATAL	462
